200 39800
0 1 27
0 2 29
0 3 14
0 4 7
0 5 20
0 6 13
0 7 54
0 8 55
0 9 37
0 10 66
0 11 73
0 12 67
0 13 45
0 14 75
0 15 51
0 16 55
0 17 25
0 18 56
0 19 100
0 20 56
0 21 35
0 22 48
0 23 53
0 24 38
0 25 63
0 26 43
0 27 26
0 28 50
0 29 83
0 30 75
0 31 64
0 32 9
0 33 55
0 34 77
0 35 67
0 36 27
0 37 41
0 38 72
0 39 81
0 40 29
0 41 37
0 42 5
0 43 95
0 44 33
0 45 31
0 46 45
0 47 87
0 48 55
0 49 52
0 50 39
0 51 10
0 52 87
0 53 38
0 54 15
0 55 24
0 56 100
0 57 57
0 58 1
0 59 1
0 60 91
0 61 27
0 62 64
0 63 51
0 64 34
0 65 92
0 66 69
0 67 60
0 68 33
0 69 40
0 70 92
0 71 61
0 72 29
0 73 97
0 74 56
0 75 61
0 76 27
0 77 52
0 78 100
0 79 82
0 80 56
0 81 90
0 82 43
0 83 42
0 84 27
0 85 57
0 86 17
0 87 78
0 88 66
0 89 70
0 90 79
0 91 8
0 92 48
0 93 94
0 94 59
0 95 81
0 96 86
0 97 27
0 98 40
0 99 70
0 100 19
0 101 84
0 102 82
0 103 47
0 104 80
0 105 89
0 106 59
0 107 58
0 108 93
0 109 58
0 110 91
0 111 48
0 112 47
0 113 86
0 114 41
0 115 25
0 116 42
0 117 57
0 118 3
0 119 59
0 120 78
0 121 33
0 122 67
0 123 78
0 124 26
0 125 25
0 126 58
0 127 63
0 128 3
0 129 50
0 130 32
0 131 21
0 132 33
0 133 66
0 134 19
0 135 64
0 136 54
0 137 78
0 138 73
0 139 46
0 140 87
0 141 16
0 142 93
0 143 34
0 144 1
0 145 33
0 146 58
0 147 94
0 148 42
0 149 12
0 150 53
0 151 71
0 152 44
0 153 19
0 154 48
0 155 70
0 156 95
0 157 58
0 158 84
0 159 49
0 160 59
0 161 68
0 162 22
0 163 43
0 164 33
0 165 40
0 166 6
0 167 38
0 168 69
0 169 30
0 170 84
0 171 8
0 172 45
0 173 28
0 174 41
0 175 45
0 176 61
0 177 50
0 178 39
0 179 54
0 180 14
0 181 43
0 182 24
0 183 57
0 184 61
0 185 24
0 186 78
0 187 7
0 188 81
0 189 62
0 190 7
0 191 39
0 192 81
0 193 28
0 194 81
0 195 13
0 196 20
0 197 38
0 198 50
0 199 40
1 0 67
1 2 85
1 3 47
1 4 64
1 5 13
1 6 39
1 7 60
1 8 25
1 9 89
1 10 98
1 11 78
1 12 2
1 13 40
1 14 53
1 15 10
