500 249500
0 1 18
0 2 36
0 3 92
0 4 92
0 5 71
0 6 38
0 7 24
0 8 23
0 9 81
0 10 71
0 11 90
0 12 94
0 13 53
0 14 67
0 15 61
0 16 23
0 17 10
0 18 80
0 19 28
0 20 90
0 21 56
0 22 14
0 23 60
0 24 60
0 25 93
0 26 46
0 27 37
0 28 68
0 29 65
0 30 24
0 31 9
0 32 34
0 33 11
0 34 52
0 35 77
0 36 34
0 37 42
0 38 53
0 39 8
0 40 74
0 41 23
0 42 50
0 43 67
0 44 27
0 45 16
0 46 27
0 47 49
0 48 25
0 49 59
0 50 76
0 51 66
0 52 66
0 53 42
0 54 25
0 55 25
0 56 86
0 57 22
0 58 61
0 59 53
0 60 86
0 61 36
0 62 13
0 63 20
0 64 99
0 65 65
0 66 48
0 67 84
0 68 6
0 69 100
0 70 43
0 71 79
0 72 75
0 73 92
0 74 98
0 75 1
0 76 7
0 77 76
0 78 2
0 79 83
0 80 34
0 81 77
0 82 48
0 83 51
0 84 70
0 85 25
0 86 76
0 87 55
0 88 46
0 89 88
0 90 60
0 91 32
0 92 76
0 93 72
0 94 3
0 95 26
0 96 36
0 97 2
0 98 9
0 99 93
0 100 2
0 101 51
0 102 24
0 103 76
0 104 43
0 105 21
0 106 28
0 107 1
0 108 48
0 109 29
0 110 84
0 111 34
0 112 58
0 113 31
0 114 84
0 115 27
0 116 55
0 117 11
0 118 82
0 119 53
0 120 99
0 121 41
0 122 36
0 123 26
0 124 64
0 125 90
0 126 51
0 127 100
0 128 91
0 129 11
0 130 44
0 131 92
0 132 61
0 133 67
0 134 19
0 135 55
0 136 39
0 137 47
0 138 56
0 139 87
0 140 75
0 141 91
0 142 20
0 143 32
0 144 73
0 145 55
0 146 59
0 147 80
0 148 66
0 149 92
0 150 32
0 151 16
0 152 84
0 153 67
0 154 41
0 155 47
0 156 8
0 157 91
0 158 98
0 159 98
0 160 1
0 161 42
0 162 90
0 163 13
0 164 60
0 165 60
0 166 20
0 167 51
0 168 6
0 169 27
0 170 89
0 171 33
0 172 17
0 173 8
0 174 16
0 175 89
0 176 14
0 177 26
0 178 20
0 179 79
0 180 17
0 181 51
0 182 94
0 183 52
0 184 69
0 185 34
0 186 99
0 187 76
0 188 76
0 189 48
0 190 74
0 191 28
0 192 41
0 193 15
0 194 93
0 195 1
0 196 74
0 197 12
0 198 3
0 199 32
0 200 38
0 201 91
0 202 64
0 203 6
0 204 50
0 205 79
0 206 46
0 207 63
0 208 5
0 209 66
0 210 42
0 211 73
0 212 68
0 213 87
0 214 25
0 215 37
0 216 21
0 217 75
0 218 64
0 219 48
0 220 74
0 221 37
0 222 28
0 223 15
0 224 3
0 225 20
0 226 67
0 227 29
0 228 83
0 229 69
0 230 60
0 231 72
0 232 11
0 233 75
0 234 77
0 235 60
0 236 5
0 237 74
0 238 22
0 239 61
0 240 39
0 241 15
0 242 34
0 243 7
0 244 2
0 245 10
0 246 95
0 247 74
0 248 36
0 249 58
0 250 21
0 251 9
0 252 47
0 253 48
0 254 75
0 255 49
0 256 19
0 257 93
0 258 29
0 259 1
0 260 61
0 261 40
0 262 72
0 263 71
0 264 14
0 265 100
0 266 82
0 267 19
0 268 74
0 269 4
0 270 31
0 271 64
0 272 18
0 273 64
0 274 22
0 275 19
0 276 25
0 277 16
0 278 92
0 279 60
0 280 26
0 281 65
0 282 21
0 283 72
0 284 64
0 285 95
0 286 72
0 287 83
0 288 88
0 289 1
0 290 35
0 291 100
0 292 40
0 293 59
0 294 23
0 295 6
0 296 58
0 297 4
0 298 76
0 299 83
0 300 59
0 301 6
0 302 47
0 303 29
0 304 22
0 305 68
0 306 99
0 307 46
0 308 36
0 309 43
0 310 58
0 311 61
0 312 7
0 313 30
0 314 84
0 315 22
0 316 24
0 317 7
0 318 56
0 319 63
0 320 59
0 321 91
0 322 15
0 323 51
0 324 49
0 325 89
0 326 56
0 327 58
0 328 44
0 329 83
0 330 41
0 331 3
0 332 88
0 333 39
0 334 31
0 335 61
0 336 58
0 337 29
0 338 59
0 339 93
0 340 23
0 341 16
0 342 5
0 343 29
0 344 45
0 345 40
0 346 3
0 347 20
0 348 47
0 349 58
0 350 35
0 351 57
0 352 48
0 353 49
0 354 7
0 355 48
0 356 37
0 357 14
0 358 6
0 359 32
0 360 96
0 361 98
0 362 34
0 363 36
0 364 36
0 365 16
0 366 96
0 367 93
0 368 97
0 369 54
0 370 38
0 371 19
0 372 21
0 373 94
0 374 100
0 375 17
0 376 86
0 377 2
0 378 89
0 379 84
0 380 59
0 381 23
0 382 40
0 383 59
0 384 23
0 385 47
0 386 6
0 387 11
0 388 60
0 389 63
0 390 42
0 391 8
0 392 60
0 393 28
0 394 43
0 395 95
0 396 43
0 397 90
0 398 40
0 399 39
0 400 96
0 401 77
0 402 10
0 403 16
0 404 22
0 405 9
0 406 85
0 407 7
0 408 62
0 409 73
0 410 90
0 411 72
0 412 47
0 413 30
0 414 30
0 415 69
0 416 28
0 417 36
0 418 31
0 419 87
0 420 50
0 421 72
0 422 46
0 423 10
0 424 99
0 425 88
0 426 4
0 427 94
0 428 78
0 429 43
0 430 84
0 431 73
0 432 71
0 433 93
0 434 40
0 435 93
0 436 53
0 437 76
0 438 51
0 439 66
0 440 48
0 441 41
0 442 38
0 443 94
0 444 22
0 445 67
0 446 14
0 447 49
0 448 54
0 449 44
0 450 87
0 451 4
0 452 68
0 453 33
0 454 13
0 455 18
0 456 72
0 457 68
0 458 11
0 459 1
0 460 11
0 461 95
0 462 73
0 463 33
0 464 39
0 465 65
0 466 25
0 467 44
0 468 40
0 469 28
0 470 9
0 471 40
0 472 68
0 473 46
0 474 85
0 475 41
0 476 13
0 477 99
0 478 41
0 479 18
0 480 94
0 481 27
0 482 21
0 483 13
0 484 11
0 485 85
0 486 31
0 487 35
0 488 53
0 489 93
0 490 35
0 491 15
0 492 87
0 493 8
0 494 47
0 495 78
0 496 24
0 497 24
0 498 21
0 499 63
1 0 51
1 2 29
1 3 54
1 4 70
1 5 75
1 6 39
1 7 10
1 8 39
1 9 89
1 10 2
1 11 56
1 12 34
1 13 80
1 14 77
1 15 47
1 16 91
1 17 13
1 18 29
1 19 25
1 20 65
1 21 21
1 22 59
1 23 79
1 24 60
1 25 18
1 26 26
1 27 37
1 28 93
1 29 49
1 30 57
1 31 8
1 32 51
1 33 37
1 34 61
1 35 20
1 36 11
